lo_id,hi_id,lo_wins,hi_wins
100644,105614,1,0
100644,105643,3,0
100644,105657,0,1
100644,105668,1,0
100644,105671,0,1
100644,105676,4,4
100644,105683,2,2
100644,105700,1,0
100644,105723,0,1
100644,105732,2,3
100644,105777,7,2
100644,105807,4,0
100644,105815,2,0
100644,105870,1,0
100644,105902,2,0
100644,105916,1,0
100644,105932,4,1
100644,105936,2,0
100644,105954,1,0
100644,105963,1,0
100644,105985,1,0
100644,105992,1,0
100644,106000,1,1
100644,106005,1,0
100644,106034,1,0
100644,106043,4,2
100644,106045,0,1
100644,106058,2,2
100644,106065,2,0
100644,106078,1,0
100644,106109,1,0
100644,106121,0,1
100644,106137,1,0
100644,106138,0,1
100644,106148,2,0
100644,106198,2,0
100644,106207,1,0
100644,106210,0,1
100644,106214,2,0
100644,106216,2,0
100644,106218,4,0
100644,106220,1,0
100644,106228,1,0
100644,106233,4,8
100644,106261,1,0
100644,106298,1,0
100644,106329,3,0
100644,106331,2,1
100644,106378,4,0
100644,106398,1,0
100644,106401,3,4
100644,106415,3,0
100644,106421,8,14
100644,106423,2,0
100644,106426,2,2
100644,106432,4,3
100644,109739,2,0
100644,110602,1,0
100644,111153,2,0
100644,111190,2,0
100644,111202,1,2
100644,111442,3,2
100644,111456,3,0
100644,111460,2,0
100644,111513,3,0
100644,111575,6,3
100644,111581,1,1
100644,111797,5,2
100644,111815,7,0
100644,121896,1,0
100644,122330,1,3
100644,122669,1,0
100644,123755,1,0
100644,124079,2,0
100644,124116,4,0
100644,124186,3,1
100644,125802,0,1
100644,126094,7,3
100644,126127,1,0
100644,126128,2,1
100644,126203,5,9
100644,126205,1,2
100644,126207,9,1
100644,126214,2,0
100644,126239,0,2
100644,126409,1,0
100644,126523,1,0
100644,126610,5,3
100644,126774,6,10
100644,126846,2,0
100644,126952,1,0
100644,127157,4,1
100644,127760,1,0
100644,128034,3,2
100644,132283,6,0
100644,132686,1,0
100644,133057,1,0
100644,133297,1,0
100644,133430,6,3
100644,133835,1,0
100644,134770,4,2
100644,134868,9,2
100644,136440,3,0
100644,144684,3,0
100644,144707,3,0
100644,144719,2,1
100644,144750,4,0
100644,144817,0,1
100644,144869,2,0
100644,144895,3,0
100644,145014,1,0
100644,200000,6,4
100644,200005,3,1
100644,200059,1,0
100644,200116,2,0
100644,200175,3,2
100644,200221,6,1
100644,200267,1,0
100644,200282,8,3
100644,200303,1,0
100644,200325,1,1
100644,200384,1,0
100644,200443,1,0
100644,200514,1,0
100644,200615,4,0
100644,200624,0,1
100644,200670,1,0
100644,202103,5,3
100644,202104,2,0
100644,202195,1,0
100644,202385,2,0
100644,205734,1,0
100644,206173,4,10
100644,206499,1,0
100644,206681,2,0
100644,206909,6,0
100644,207352,1,0
100644,207411,3,0
100644,207518,2,3
100644,207681,0,1
100644,207686,1,0
100644,207830,2,0
100644,207925,4,1
100644,207985,4,0
100644,207989,6,7
100644,208029,3,1
100644,208103,1,1
100644,208233,1,0
100644,208286,3,0
100644,208316,1,0
100644,208363,1,0
100644,209113,2,0
100644,209147,1,0
100644,209260,1,1
100644,209279,1,0
100644,209414,1,0
100644,209950,5,2
100644,210097,5,0
100644,210150,2,0
100644,210460,1,0
100644,210506,1,0
100644,210530,2,1
100644,210696,2,0
100644,211663,1,0
100644,212082,1,0
100644,212588,1,0
100754,102036,1,0
100754,102320,0,1
100754,103060,0,1
100754,103828,0,1
100754,103905,0,1
100754,108614,1,0
100886,103457,0,1
100886,103581,0,1
100886,103672,0,1
